id,row,col,status,source,source_url
61,6,0,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
62,6,1,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
63,6,2,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
64,6,3,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
65,6,4,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
66,6,5,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
67,6,6,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
68,6,7,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
69,6,8,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
70,6,9,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
71,7,0,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
72,7,1,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
73,7,2,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
74,7,3,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
